name,map,operators,weapons,description,code,start_date
Default,None,None,[],None,Y0S0,2015-12-01
Black Ice,Yacht,Frost and Buck,"['C8-SFW', 'CAMRS', 'Super 90', '9mm C1', 'Mk1 9mm']","Operation Black Ice, which introduces the Yacht map, two new JTF2 operators, new weapon skins, spectator camera for all platforms, and more.",Y1S1,2016-02-02
Dust Line,Border,Valkyrie And Blackbeard,"['Mk17 CQB', 'SR-25', 'MPX', 'SPAS-12', 'D-50']","In Operation Dust Line, two NAVY SEAL operators join Team Rainbow to secure the 'Border,' our new map. The second content update also introduces new weapon skins, advanced customization options, the ability to switch loadouts between rounds, and much more.",Y1S2,2016-05-10
Skull Rain,Favela,Caveira and Capitao,"['PARA-308', 'M249', 'M12', 'SPAS-15', 'PRB92']","In Operation Skull Rain, two BOPE operators join Team Rainbow to pacify the favelas in the new free map. The third content update aims to improve the gameplay experience by introducing unfair behavior countermeasures, a new weapon attachment, various game improvements, customization content and more.",Y1S3,2016-08-02
Red Crow,"Skyscraper, Bartlett University Rework",Echo and Hibana,"['Type-89', 'MP5SD', 'SuperNova', 'Bearing 9', 'P229']","In Operation Red Crow, two S.A.T. operators join Team Rainbow to neutralize the threat present in the new Skyscraper map. This fourth content update aims to improve the gaming experience, offering new customization options and much more. Additionally, the new map, Skyscraper, offers new tactical opportunities for group assaults.",Y1S4,2016-11-17
Velvet Shell,Coastline,Mira and Jackal,"['C7E', 'PDW9', 'ITA12L', 'Vector .45 ACP', 'USP40', 'ITA12S']","In Operation Velvet Shell, two G.E.O. operators they join Team Rainbow to gain control of the Coast map. After a year of content updates, this season aims to make the player experience more convenient by improving the navigation interface, customization selection and more.",Y2S1,2017-02-07
Health,None,None,[],"With Operation Health we focused on solving different problems and creating new technologies for the following years. The pillars on which it was founded were three: technical improvement, updating of the development process and resolution of the main bugs reported by the community.",Y2S2,2017-06-07
Blood Orchid,Theme Park,"Lesion, Ela and Ying","['T-5 SMG', 'SIX12', 'SIX12 SD', 'T-95 LSW', 'Q-929', 'Scorpion EVO 3 A1', 'FO-12', 'RG15']","In Operation Blood Orchid, two S.D.U. operators they join Team Rainbow to regain control of an Amusement Park. This third season served to rework some operators and some maps following data optimization. In particular, the textures and dynamic and static lighting have been revised, the skies and customization options have been enriched, etc.",Y2S3,2017-09-05
White Noise,Tower,"Dokkaebi, Vigil and Zofia","['Mk 14 EBR', 'K1A', 'BOSG.12.2', 'C75 Auto', 'SMG-12', 'LMG-E', 'M762']","In Operation White Noise, the Rainbow team welcomes two operators from the 707th Commando of the South Korean army for a rescue mission on the Mok Myeok tower, the new free map. They are joined by a third operator, the second specialist from the GROM unit.",Y2S4,2017-12-05
Chimera,None,Lion and Finka,"['V308', 'Spear .308']","With Operation Chimera we will explore a new scenario, that of biological risk and quarantine. The two new operators are biohazard specialists from France and Russia. Our first major co-op event, Outbreak, will also take place during the first season and will run for four weeks",Y3S1,2018-03-06
Para Bellum,Villa,Alibi and Maestro,"['ALDA 5.56', 'ACS12', 'Mx4 Storm', 'Bailiff 410', 'Keratos .357']","In Operation Para Bellum, two G.I.S. operators they act under the Tuscan sun. The Rainbow team sends Maestro and Alibi into action in the villa of one of the most dangerous families in the underworld.",Y3S2,2018-06-07
Grim Sky,None,Clash and Maverick,"['AR-15.50', 'M4', '1911 TACOPS', 'P-10C', 'SPSMG9']","For Operation Grim Sky, Rainbow Six deploys Clash and Maverick. Experts in crowd behavior and high-precision attacks respectively, they will also take charge of the new training complex in the revised Hereford Base map.",Y3S3,2018-09-04
Wind Bastion,Fortress,Kaid and Nomad,"['AK-74M', 'ARX200', 'AUG A3', 'TCSG12', '.44 Mag Semi-Auto']","Kaid and Nomad arrive in Rainbow Six® for Operation Wind Bastion. These two operators are at home in the renowned Kasbah Sekhra Mania, the Fortress map in Morocco. Join the best at this elite training camp.",Y3S4,2018-12-04
Burnt Horizon,Outback,Gridlock and Mozzie,"['F90', 'Commando 9', 'P10 RONI', 'Super Shorty', 'SDP 9mm', 'M249 SAW']","Rainbow Six lands in Australia for Operation Burnt Horizon. Gridlock and Mozzie, protection experts from the SASR mobility platoon, are assigned to escort a high-priority convoy that must cross the continent.",Y4S1,2019-03-06
Phantom Sight,None,Nokk and Warden,[],"Sharpen your sight with Operation Phantom Sight! Become invisible to cameras and drones, and move silently with Nøkk and his HEL gadget. Spot enemies through smoke screens and become immune to flash grenades with Warden and his Glance smart glasses. Rediscover the Café as you've never seen it before thanks to the rework and balancing of its map.",Y4S2,2019-06-11
Ember Rise,Kanal Rework,Amaru and Goyo,[],"There's something new on the horizon, and Operation Ember Rise will reveal what it is. Two operators, Amaru and Goyo, were recruited in Peru and Mexico respectively; bringing with it innovation and changes for Rainbow Six, as well as an exciting revamp for Kanal.",Y4S3,2019-09-11
Shifting Tides,Theme Park Rework,Kali and Wamai,[],"This season, rise from the depths with Operation Shifting Tides. Try out Kali and her unique underbarrel explosive gadget, which allows her to do more than just blast walls or other operators. On the other side of the action, the grenades have been behaving strangely since a defender named Wamai uses a new magnetic attraction gadget. Arriving with them, a new version of the completely reworked Amusement Park map.",Y4S4,2019-12-03
Void Edge,Oregon rework,Iana and Oryx,[],"For the fifth year of Rainbow 6 Siege, we're making room for our two new operators who burst into this season with their unique abilities. Thanks to her Gemini Replicator, the attacker Iana is able to create a functional clone of herself, while the defender Oryx can use her Remah Dash against enemies and walls.",Y5S1,2020-03-10
