name,location,releaseDate,playlists,mapReworked
Close Quarter,Greece,Operation Vector Glare (June 2022),Team Deathmatch,None
Emerald Plains,Ireland,Demon Veil (April 2022),"Quick Match, Standard, Ranked, Team Deathmatch",None
Border,Middle East,Dust Line (May 2016),"Standard, Ranked",March 2021
Favela,Brazil,Skull Rain (August 2016),"Quick Match, Team Deathmatch",June 2021
House,"Los Angeles, California",Base game (December 2015),Quick Match,June 2020
Kanal,"Hamburg, Germany", Launch (December 2015),"Standard, Ranked",September 2019
Outback,Australia,Burnt Horizon (March 2019),"Ranked, Standard",November 2021
Presidential Plane,"London, United Kingdom",Base game (December 2015),Quick Match,None
Tower,"Seoul, South Korea",White Noise (November 2017), Quick Match,None
Yacht,Baffin Bay,Black Ice (February 2016),Quick Match,None
Hereford Base,United Kingdom,Base game (December 2015),Quick Match,September 2018
Lair,Portugal,Operation Deep Freeze (November 2023),"Standard, Quick Match, Ranked, Team Deathmatch",Modernized - September 2025
Nighthaven Labs,Offshore,Operation Solar Raid (December 2022),"Standard, Ranked, Quick Match, Team Deathmatch",Modernized - September 2025
Consulate,"Abidjan, Ivory Coast",Base game (December 2015),"Quick Match, Ranked, Standard","May 2023 Reworked, Modernized - September 2025"
Bank,"Los Angeles, California",Base game (December 2015),"Quick Match, Standard, Ranked","Small rework - September 2021, Modernized June 2025"
Chalet,"Courchevel, France",Base game (December 2015),"Quick Match, Ranked, Standard","September 2020 Reworked, Modernized June 2025"
Clubhouse,"Hanover, Germany",Base game (December 2015),"Standard, Quick Match, Ranked","Small rework - September 2021, Modernized June 2025"
Kafe Dostoyevsky,"Noscow, Russia",Base game (December 2015),"Ranked, Standard","June 2019 Reworked, Modernized June 2025"
Stadium Alpha,Greece,Operation Brutal Swarm (September 2022),"Standard, Quick Match, Team Deathmatch",June 2024
Stadium Bravo,Greece,Operation Brutal Swarm (September 2022),"Quick Match, Standard",June 2024
District,"Detroit, Michigan",Operation Daybreak (June 2025),Dual Front,None
Fortress,Morocco,Wind bastion (December 2018),Quick Match,Modernized - December 2025 
Theme Park,Hong Kong,Blood Orchid (August 2017),"Standard, Ranked, Team Deathmatch","December 2019 Reworked, Modernized December 2025"
Skyscraper,"Nagoya, Japan",Red Crow (November 2016),"Standard, Ranked, Team Deathmatch","December 2020 Reworked, Modernized December 2025"
Coastline,"Ibiza, Spain",Velvet Shell (February 2017),"Quick Match, Ranked, Team Deathmatch, Standard","Small rework - September 2021, March 2026"
Oregon,"Redmond, Oregon",Base game (December 2015),"Ranked, Standard","March 2020, Small Rework - March 2026"
Villa,"Tuscany, Italy",Para Bellum (June 2018),"Ranked, Team Deathmatch, Standard, Quick Match",Small Rework - March 2026
